	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_5plus_only_first	pct_5plus_first	pct_5plus_second	pct_5plus_tot
4775	2021-09-03	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4776	2021-09-04	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4777	2021-09-05	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4778	2021-09-06	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4779	2021-09-07	Northwest Territories	NT	67601	32689	34912	276.0	2223	4.964269763287182	77.96337650736936	72.99910674408217	150.96248325145154	5.317925463640927	83.5175050772074	78.19957961356647	161.71708469077387
4780	2021-09-08	Northwest Territories	NT	67601	32689	34912	0.0	2223	4.964269763287182	77.96337650736936	72.99910674408217	150.96248325145154	5.317925463640927	83.5175050772074	78.19957961356647	161.71708469077387
4781	2021-09-09	Northwest Territories	NT	67601	32689	34912	0.0	2223	4.964269763287182	77.96337650736936	72.99910674408217	150.96248325145154	5.317925463640927	83.5175050772074	78.19957961356647	161.71708469077387
4782	2021-09-10	Northwest Territories	NT	67601	32689	34912	0.0	2223	4.964269763287182	77.96337650736936	72.99910674408217	150.96248325145154	5.317925463640927	83.5175050772074	78.19957961356647	161.71708469077387
4783	2021-09-11	Northwest Territories	NT	67601	32689	34912	0.0	2223	4.964269763287182	77.96337650736936	72.99910674408217	150.96248325145154	5.317925463640927	83.5175050772074	78.19957961356647	161.71708469077387
4784	2021-09-12	Northwest Territories	NT	67601	32689	34912	0.0	2223	4.964269763287182	77.96337650736936	72.99910674408217	150.96248325145154	5.317925463640927	83.5175050772074	78.19957961356647	161.71708469077387
4785	2021-09-13	Northwest Territories	NT	68114	32930	35184	272.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
4786	2021-09-14	Northwest Territories	NT	68114	32930	35184	0.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
4787	2021-09-15	Northwest Territories	NT	68114	32930	35184	0.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
4788	2021-09-16	Northwest Territories	NT	68114	32930	35184	0.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
4789	2021-09-17	Northwest Territories	NT	68114	32930	35184	0.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
4790	2021-09-18	Northwest Territories	NT	68114	32930	35184	0.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
4791	2021-09-19	Northwest Territories	NT	68114	32930	35184	0.0	2254	5.033497096918267	78.57079053148726	73.53729343456901	152.10808396605628	5.392084568172133	84.16819141373927	78.77610684556714	162.9442982593064
